Timestamp,Bar,Direction,FastGradient,FastEMA,SlowEMA,Close,MaxFavorableMove,BarsToPeak,BlockedReason,Status
2025-11-21 08:05:00,849,LONG,1.0173,24141.67,24141.15,24146.25,0.00,0,"ADX<18(11.9) ADX:11.9 ATR:7.83 RSI:54.7 GradStab:0.510 BW:0.0000 Accel:+1.537,0,849",MISSED_FLAT
2025-11-21 08:58:30,956,LONG,0.5140,24176.19,24175.99,24178.50,0.00,0,"ADX<18(13.8) ADX:13.8 ATR:7.16 RSI:53.4 GradStab:0.816 BW:0.0000 Accel:+0.795,0,956",MISSED_FLAT
2025-11-21 09:02:00,963,SHORT,-0.5724,24173.58,24174.39,24171.00,0.00,0,"ADX<18(12.7)|RSI<50.0(46.8) ADX:12.7 ATR:7.00 RSI:46.8 GradStab:0.367 BW:0.0000 Accel:-1.029,0,963",MISSED_FLAT
2025-11-21 09:30:30,1020,LONG,1.7894,24185.70,24183.18,24193.75,0.00,0,"ADX<18(15.5) ADX:15.5 ATR:7.77 RSI:60.6 GradStab:0.659 BW:0.0001 Accel:+2.355,0,1020",MISSED_FLAT
2025-11-21 09:40:00,1039,SHORT,-0.6189,24153.04,24159.22,24150.25,0.00,0,"RSI<50.0(39.3) ADX:24.8 ATR:8.96 RSI:39.3 GradStab:1.318 BW:0.0003 Accel:-0.676,0,1039",MISSED_FLAT
2025-11-21 09:52:00,1063,SHORT,-1.6897,24105.10,24117.41,24097.50,0.00,0,"GradStab>1.46(2.043)|RSI<50.0(35.4) ADX:35.3 ATR:13.09 RSI:35.4 GradStab:2.043 BW:0.0005 Accel:-2.720,0,1063",MISSED_FLAT
2025-11-21 09:58:30,1076,SHORT,-0.5054,24079.52,24088.82,24077.25,0.00,0,"RSI<50.0(36.1) ADX:33.3 ATR:11.43 RSI:36.1 GradStab:1.208 BW:0.0004 Accel:-1.125,0,1076",MISSED_FLAT
2025-11-21 10:20:00,1119,SHORT,-3.6077,24153.73,24153.94,24137.50,0.00,0,"RSI<50.0(41.4) ADX:23.2 ATR:11.88 RSI:41.4 GradStab:1.252 BW:0.0000 Accel:-3.678,0,1119",MISSED_FLAT
2025-11-21 10:26:30,1132,SHORT,-2.0566,24140.25,24142.72,24131.00,0.00,0,"ADX<18(16.8)|GradStab>1.46(2.654)|ATR>13.57(13.64)|RSI<50.0(43.9) ADX:16.8 ATR:13.64 RSI:43.9 GradStab:2.654 BW:0.0001 Accel:-2.967,0,1132",MISSED_FLAT
2025-11-21 10:28:00,1135,LONG,2.6444,24144.60,24144.41,24156.50,0.00,0,"ADX<18(14.7)|GradStab>1.46(1.880)|ATR>13.57(14.85) ADX:14.7 ATR:14.85 RSI:55.4 GradStab:1.880 BW:0.0000 Accel:+4.579,0,1135",MISSED_FLAT
