ts_local,event_type,bar_index,signal_type,action_reason,notes
2025-11-19 14:44:30.000,PLOT,1648,BEAR,Triangle drawn on chart,netflow=-1.50
2025-11-19 14:45:00.000,LOGGED,1649,BEAR,Written to signals CSV,"price=24707.75,netflow=-1.50"
2025-11-19 14:45:30.000,PLOT,1650,BULL,Triangle drawn on chart,netflow=-1.00
2025-11-19 14:46:00.000,LOGGED,1651,BULL,Written to signals CSV,"price=24711.25,netflow=-1.00"
2025-11-19 14:46:30.000,PLOT,1652,BEAR,Triangle drawn on chart,netflow=-1.00
2025-11-19 14:47:00.000,LOGGED,1653,BEAR,Written to signals CSV,"price=24709.25,netflow=-1.00"
2025-11-19 14:47:00.000,PLOT,1653,BULL,Triangle drawn on chart,netflow=-1.00
2025-11-19 14:47:30.000,LOGGED,1654,BULL,Written to signals CSV,"price=24711.75,netflow=-1.00"
2025-11-19 14:51:00.000,PLOT,1661,BEAR,Triangle drawn on chart,netflow=-0.92
2025-11-19 14:51:30.000,LOGGED,1662,BEAR,Written to signals CSV,"price=24711.25,netflow=-0.92"
2025-11-19 14:51:30.000,PLOT,1662,BULL,Triangle drawn on chart,netflow=1.58
2025-11-19 14:52:00.000,LOGGED,1663,BULL,Written to signals CSV,"price=24718.25,netflow=1.58"
2025-11-19 14:54:30.000,PLOT,1668,BEAR,Triangle drawn on chart,netflow=-1.00
2025-11-19 14:55:00.000,LOGGED,1669,BEAR,Written to signals CSV,"price=24705.75,netflow=-1.00"
2025-11-19 14:56:30.000,PLOT,1672,BULL,Triangle drawn on chart,netflow=-2.00
2025-11-19 14:57:00.000,LOGGED,1673,BULL,Written to signals CSV,"price=24706.50,netflow=-2.00"
2025-11-19 14:57:00.000,PLOT,1673,BEAR,Triangle drawn on chart,netflow=-2.00
2025-11-19 14:57:30.000,LOGGED,1674,BEAR,Written to signals CSV,"price=24705.00,netflow=-2.00"
2025-11-19 15:28:30.000,PLOT,1736,BULL,Triangle drawn on chart,netflow=0.79
2025-11-19 15:29:00.000,LOGGED,1737,BULL,Written to signals CSV,"price=24676.75,netflow=0.79"
2025-11-19 15:35:00.000,PLOT,1749,BEAR,Triangle drawn on chart,netflow=-1.25
2025-11-19 15:35:30.000,LOGGED,1750,BEAR,Written to signals CSV,"price=24683.00,netflow=-1.25"
2025-11-19 15:35:30.000,PLOT,1750,BULL,Triangle drawn on chart,netflow=-1.63
2025-11-19 15:36:00.000,LOGGED,1751,BULL,Written to signals CSV,"price=24679.75,netflow=-1.63"
2025-11-19 15:36:00.000,PLOT,1751,BEAR,Triangle drawn on chart,netflow=-2.55
2025-11-19 15:36:30.000,LOGGED,1752,BEAR,Written to signals CSV,"price=24676.00,netflow=-2.55"
2025-11-19 15:47:00.000,PLOT,1773,BULL,Triangle drawn on chart,netflow=-1.37
2025-11-19 15:47:30.000,LOGGED,1774,BULL,Written to signals CSV,"price=24677.50,netflow=-1.37"
2025-11-19 15:49:30.000,PLOT,1778,BEAR,Triangle drawn on chart,netflow=-2.19
2025-11-19 15:50:00.000,LOGGED,1779,BEAR,Written to signals CSV,"price=24673.25,netflow=-2.19"
2025-11-19 16:03:00.000,PLOT,1805,BULL,Triangle drawn on chart,netflow=-2.00
2025-11-19 16:03:30.000,LOGGED,1806,BULL,Written to signals CSV,"price=24672.25,netflow=-2.00"
2025-11-19 16:04:00.000,PLOT,1807,BEAR,Triangle drawn on chart,netflow=-4.00
2025-11-19 16:04:30.000,LOGGED,1808,BEAR,Written to signals CSV,"price=24666.00,netflow=-4.00"
2025-11-19 16:22:00.000,PLOT,1843,BULL,Triangle drawn on chart,netflow=1.00
2025-11-19 16:22:30.000,LOGGED,1844,BULL,Written to signals CSV,"price=24635.25,netflow=1.00"
2025-11-19 16:22:30.000,PLOT,1844,BEAR,Triangle drawn on chart,netflow=1.00
2025-11-19 16:23:00.000,LOGGED,1845,BEAR,Written to signals CSV,"price=24633.75,netflow=1.00"
