ts_local,bar_time_utc,bar_index,open,high,low,close,vpm,attract,objection,netflow,ema_color,momentum,supertrend,upper_band,lower_band,bull_cross,bear_cross,bull_cross_raw,bear_cross_raw,bull_reason,bear_reason,realtime_state,realtime_reason,regime,atr30,ema10,ema20,energy_ema_first,range_max,range_min,range_mid,range_os,range_count,score_bull,score_bear,adx,atr_ratio,ema_spread,price_to_band,momentum_ext,range_break,exit_long,exit_short
2025-11-17 13:51:30.000,2025-11-17T19:51:30.0000000Z,1542,25207.25,25212.5,25207.25,25212.25,2,2.5,2.5,0,6,0.00018843598135475552,25225.900000000001,25225.900000000001,25181.950000000001,0,0,0,0,,[RT-FLAT],FLAT,NONE_UP|diff=5.00|BULL_FAIL:net<1.00&ema<8|BEAR_FAIL:net>-0.50&obj<4.00,BEAR,7.0251279629203678,25206.592882535828,25208.137382496636,25208.841867921583,25218.270200705985,25204.954799294013,25211.612499999999,-1,8,435.63999563729931,1,1,20.953835250799074,0.00028202545395694385,-0.30187220870491699,0.58230256898190236,0.00069261670591494668,0,0,0
2025-11-17 13:52:00.000,2025-11-17T19:52:00.0000000Z,1543,25213,25219,25211.25,25218.25,2,4.5,2.5,2,15,0.00050584197893316937,25225.900000000001,25225.900000000001,25181.950000000001,1,0,0,0,[EMA15-STABLE]|[RT-BULL]|[RT-PLOT],[GUARD-EMA15],BULL,BULL|net>=1.00|obj<=3.00|ema>=8,BEAR,7.0165125863785782,25209.493350173943,25209.552869877909,25211.683494337267,25218.270200705985,25204.954799294013,25211.612499999999,1,9,571.53777486931074,2,2,21.083677556324918,0.00028276358620006283,-0.19172333641103673,0.71550903901044849,0.00099937662646072244,0,0,0
2025-11-17 13:52:30.000,2025-11-17T19:52:30.0000000Z,1544,25218.25,25219.75,25214.25,25217.5,2,4.5,2.5,2,15,0.00048600985905714088,25225.900000000001,25225.900000000001,25181.950000000001,0,0,0,0,[EMA15-STABLE]|[RT-BULL]|[RT-PLOT]|[THROTTLE-BYPASS],[GUARD-EMA15],BULL,BULL|net>=1.00|obj<=3.00|ema>=8,BEAR,7.0098510557215139,25211.110261712565,25210.387970705862,25213.386795469814,25218.270200705985,25204.954799294013,25211.612499999999,1,9,531.02518324620723,1,1,20.627651967882866,0.00027897269047109019,-0.14580179786126657,0.61686232657417517,0.00073210787708502349,0,0,0
2025-11-17 13:53:00.000,2025-11-17T19:53:00.0000000Z,1545,25219,25223.75,25219,25220.75,2,4.3657018754496004,3.5,0.86570187544960042,15,0.00092271058636769516,25225.900000000001,25225.900000000001,25188.450000000001,0,0,0,0,[EMA15-STABLE]|[RT-FLAT],[GUARD-EMA15],FLAT,NONE_UP|diff=1.75|BULL_FAIL:net<1.00&obj>3.00|BEAR_FAIL:net>-0.50&obj<4.00&ema>6,BEAR,6.9459115760863517,25213.214181070609,25211.57324333705,25215.719436375854,25218.270200705985,25204.954799294013,25211.612499999999,1,9,570.9056777196937,5,5,21.07942142606742,0.00027654740154573691,-0.055652945124756964,0.70217391304346244,0.00072208593811822429,1,0,0
2025-11-17 13:53:30.000,2025-11-17T19:53:30.0000000Z,1546,25221.25,25221.25,25216.25,25220,2,4.6479981925779708,1.5,3.1479981925779708,15,0.0010121256623469408,25225.900000000001,25225.900000000001,25188.450000000001,0,0,0,0,[EMA15-STABLE]|[RT-BULL]|[RT-PLOT]|[THROTTLE-BYPASS],[GUARD-EMA15],BULL,BULL|net>=1.00|obj<=3.00|ema>=8,BEAR,6.8760478568834733,25214.171106826365,25212.22046279248,25216.475549100687,25218.270200705985,25204.954799294013,25211.612499999999,1,10,482.82600736868471,5,5,20.096808376724447,0.00027293573923724767,0.0068733062698522864,0.67053364269141513,0.00061322387616833979,1,0,0
2025-11-17 13:54:00.000,2025-11-17T19:54:00.0000000Z,1547,25219.5,25223.75,25216.5,25218.5,2,4.7875164278020712,3.5,1.2875164278020712,15,0.00085327618367265947,25225.900000000001,25225.900000000001,25188.450000000001,0,0,0,0,[EMA15-STABLE]|[RT-FLAT],[GUARD-EMA15],FLAT,NONE_DOWN|diff=-1.00|BULL_FAIL:obj>3.00|BEAR_FAIL:net>-0.50&obj<4.00&ema>6,BEAR,6.8726795949873578,25214.763963436446,25212.708536630838,25217.510439280552,25218.270200705985,25204.954799294013,25211.612499999999,1,10,466.32844935690099,5,5,20.259527926278651,0.00026911501277155286,0.047987455330978278,0.64916467780429077,0.00059344246080807086,1,0,0
2025-11-17 13:54:30.000,2025-11-17T19:54:30.0000000Z,1548,25218.25,25221.25,25216,25220.25,2,4.9497701473671629,1.5,3.4497701473671629,15,0.00078371460883712625,25225.900000000001,25225.900000000001,25188.450000000001,0,0,0,0,[EMA15-STABLE]|[RT-BULL]|[RT-PLOT]|[THROTTLE-BYPASS],[GUARD-EMA15],BULL,BULL|net>=1.00|obj<=3.00|ema>=8,BEAR,6.8130347195988898,25216.104399836429,25213.622916362143,25218.588351424441,25218.270200705985,25204.954799294013,25211.612499999999,1,10,356.44118846015624,5,5,19.928578742838678,0.00026611224398638019,0.0333739402808782,0.56563245823388797,0.00035603026257231867,1,0,0
2025-11-17 13:55:00.000,2025-11-17T19:55:00.0000000Z,1549,25220.5,25226.5,25220.5,25226,2,8.2652185831384948,1,7.2652185831384948,15,0.00081331455436313503,25188.450000000001,25225.900000000001,25188.450000000001,0,0,1,0,[CROSS]|[EMA15-STABLE]|[RT-BULL]|[RT-PLOT]|[THROTTLE-BYPASS],[GUARD-EMA15],BULL,BULL|net>=1.00|obj<=3.00|ema>=8,BULL,6.7792668956122606,25218.721781684351,25215.275609134911,25221.030681139557,25218.270200705985,25204.954799294013,25211.612499999999,1,8,585.84968119565974,7,5,20.992843893679524,0.00026585982285611014,-0.039585967149045179,0.45226730310262697,5.9331922552063759E-05,1,0,0
2025-11-17 13:55:30.000,2025-11-17T19:55:30.0000000Z,1550,25226,25227.75,25221.25,25222.25,2,7.8385621219699813,2,5.8385621219699813,15,0.00068438801825034716,25188.450000000001,25266.450000000001,25188.450000000001,0,0,0,0,[EMA15-STABLE]|[RT-BULL]|[RT-PLOT]|[THROTTLE-BYPASS],,BULL,BULL|net>=1.00|obj<=3.00|ema>=8,BULL,6.7877357768696287,25218.669061047523,25215.545279013219,25221.404544911646,25218.270200705985,25204.954799294013,25211.612499999999,1,6,501.01089857488438,5,5,21.647006957825152,0.00026779791044224542,0.00044324074645371125,0.62529832935560425,0.00020763298398259838,1,0,0
2025-11-17 13:56:00.000,2025-11-17T19:56:00.0000000Z,1551,25221.5,25223,25216.75,25216.75,2,6.167335991152525,3,3.167335991152525,0,0.00042648575735935887,25188.450000000001,25259.25,25188.450000000001,0,0,0,0,[GUARD-EMA0],,FLAT,NONE_DOWN|diff=-4.75|BULL_FAIL:ema<8|BEAR_FAIL:net>-0.50&obj<4.00,BULL,6.747033473196197,25217.658983832272,25215.274526816946,25220.763635929321,25218.270200705985,25204.954799294013,25211.612499999999,1,4,494.8961546054785,1,1,20.391044691227364,0.0002684111182925894,0.048907863639081089,0.66109785202863403,0.00037575769561648981,0,0,0
2025-11-17 13:56:30.000,2025-11-17T19:56:30.0000000Z,1552,25217,25218.25,25212.25,25213,2,6.3812039551727775,3,3.3812039551727775,0,0.00040670164962156908,25188.450000000001,25253.799999999999,25188.450000000001,0,0,0,0,[GUARD-EMA0],,FLAT,NONE_DOWN|diff=-4.00|BULL_FAIL:ema<8|BEAR_FAIL:net>-0.50&obj<4.00,BULL,6.7157434685341011,25216.262309085905,25214.73704353733,25219.460908743458,25218.270200705985,25204.954799294013,25211.612499999999,1,2,569.93076973698567,1,1,18.538223029015199,0.00026439595026403657,0.098156425250662496,0.65891472868215817,0.00031639624674952292,0,0,0
2025-11-17 13:57:00.000,2025-11-17T19:57:00.0000000Z,1553,25213.25,25214,25199.75,25202.25,2,4.239286500802292,5,-0.76071349919770803,0,0.00018851076495684095,25188.450000000001,25253.799999999999,25188.450000000001,0,1,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BULL,6.9763297973607425,25211.89643470665,25212.504717395452,25215.938726994766,25218.270200705985,25204.954799294013,25211.612499999999,-1,1,602.62051315799044,4,4,19.455674374998118,0.00026251210962755395,0.12027990249253204,0.63307493540050486,0.00010874293170943889,1,0,0
2025-11-17 13:57:30.000,2025-11-17T19:57:30.0000000Z,1554,25201.25,25203.25,25194,25195.25,2,4,5.5,-1.5,0,-0.00021824747279346844,25188.450000000001,25253.799999999999,25188.450000000001,0,0,0,0,[GUARD-EMA0],[RT-BEAR]|[RT-PLOT]|[THROTTLE-BYPASS],BEAR,BEAR|net<=-0.50|obj>=4.00|ema<=6,BULL,7.0179521374487175,25207.931793685602,25210.320594650308,25212.070981595814,25218.270200705985,25204.954799294013,25211.612499999999,-1,1,612.19145321643816,6,6,20.500098898429076,0.00025935787815306794,0.14227686891571698,0.64599483204133157,9.8854278907462514E-05,1,0,0
