ts,method,bip,state,instrument,account,msg
2025-11-18 23:21:18.314,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24544.5 guard=24541.25 prev=24543.25
2025-11-18 23:21:18.401,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24544.25 guard=24541 prev=24543.25
2025-11-18 23:21:18.511,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24544.75 guard=24541.5 prev=24543.25
2025-11-18 23:21:18.742,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24545 guard=24541.75 prev=24543.25
2025-11-18 23:21:18.818,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24544.5 guard=24541.25 prev=24543.25
2025-11-18 23:21:19.036,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24544.5 guard=24541.25 prev=24543.25
2025-11-18 23:21:19.163,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24544.5 guard=24541.25 prev=24543.25
2025-11-18 23:21:19.458,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24544.75 guard=24541.5 prev=24543.25
2025-11-18 23:21:20.037,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24544 guard=24540.75 prev=24543.25
2025-11-18 23:21:20.454,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24544.5 guard=24541.25 prev=24543.25
2025-11-18 23:21:20.944,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24544.25 guard=24541 prev=24543.25
2025-11-18 23:21:21.514,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24544 guard=24540.75 prev=24543.25
2025-11-18 23:21:21.635,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24542.75 guard=24539.5 prev=24543.25
2025-11-18 23:21:21.636,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:21 PM , SL_B , FromEntry=ShortB , State=ChangePending , Lmt=0 Stp=24543.25 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:21:21.636,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:21 PM , SL_B , FromEntry=ShortB , State=ChangeSubmitted , Lmt=0 Stp=24542.75 , Qty=3 Filled=0 , Error=NoError "
