timestamp,bar,direction,open,high,low,close,openFinal,highFinal,lowFinal,closeFinal,candleType,fastEma,fastEmaGradDeg,volume,bodyPct,upperWick,lowerWick,action,orderName,quantity,price,pnl,reason,prevOpen,prevClose,prevCandleType,allowLongThisBar,allowShortThisBar,trendUpAtDecision,trendDownAtDecision,decisionBarIndex,pendingShortFromGood,pendingLongFromBad,barPattern
2025-12-15 06:58:00.000,868,FLAT,25524.0000,25533.5000,25522.5000,25524.2500,25524.0000,25533.5000,25522.5000,25524.2500,good,25521.5645,58.2491,778,0.022727,9.2500,1.5000,BAR,,0,0,,Flat,,,,True,False,True,False,868,False,False,
2025-12-15 07:02:00.000,869,FLAT,25524.5000,25528.5000,25522.2500,25526.5000,25524.5000,25528.5000,25522.2500,25526.5000,good,25523.2097,58.2491,329,0.320000,2.0000,2.2500,EXIT,Trail stop,1,25524.2500,-4.50,Trail stop,25524.0000,25524.2500,good,True,False,True,False,869,False,False,
2025-12-15 07:02:00.000,869,LONG,25524.5000,25528.5000,25522.2500,25526.5000,25524.5000,25528.5000,25522.2500,25526.5000,good,25523.2097,58.2491,329,0.320000,2.0000,2.2500,ENTRY,BarsOnTheFlowLong,1,25526.5000,,TrendUp,25524.0000,25524.2500,good,True,False,True,False,869,False,False,5G
2025-12-15 07:00:00.000,869,FLAT,25524.5000,25528.5000,25522.2500,25526.5000,25524.5000,25528.5000,25522.2500,25526.5000,good,25523.2097,56.2030,329,0.320000,2.0000,2.2500,BAR,,0,0,,Flat,,,,True,False,True,False,869,False,False,
2025-12-15 07:04:00.000,870,LONG,25526.5000,25530.5000,25523.5000,25523.5000,25526.5000,25530.5000,25523.5000,25523.5000,bad,25523.3065,56.2030,164,-0.428571,4.0000,0.0000,ENTRY,BarsOnTheFlowLong,1,25523.2500,,TrendUp,25524.5000,25526.5000,good,True,False,True,False,870,False,False,5G
2025-12-15 07:02:00.000,870,LONG,25526.5000,25530.5000,25523.5000,25523.5000,25526.5000,25530.5000,25523.5000,25523.5000,bad,25523.3065,41.0548,164,-0.428571,4.0000,0.0000,BAR,,1,25523.25,,InTrade,,,,False,True,True,False,870,False,False,
2025-12-15 07:06:00.000,871,FLAT,25523.2500,25528.7500,25523.2500,25528.2500,25523.2500,25528.7500,25523.2500,25528.2500,good,25524.9543,41.0548,122,0.909091,0.5000,0.0000,EXIT,Trail stop,1,25522.0000,-2.50,Trail stop,25524.5000,25526.5000,good,True,False,True,False,870,False,False,
2025-12-15 07:04:00.000,871,FLAT,25523.2500,25528.7500,25523.2500,25528.2500,25523.2500,25528.7500,25523.2500,25528.2500,good,25524.9543,41.0985,122,0.909091,0.5000,0.0000,BAR,,0,0,,Flat,,,,True,False,True,False,871,False,False,
2025-12-15 07:08:00.000,872,LONG,25527.7500,25528.0000,25522.0000,25523.7500,25527.7500,25528.0000,25522.0000,25523.7500,bad,25524.5529,41.0985,294,-0.666667,0.2500,1.7500,ENTRY,BarsOnTheFlowLong,1,25523.7500,,TrendUp,25523.2500,25528.2500,good,True,False,True,False,872,False,False,3GBG
2025-12-15 07:06:00.000,872,LONG,25527.7500,25528.0000,25522.0000,25523.7500,25527.7500,25528.0000,25522.0000,25523.7500,bad,25524.5529,31.9315,294,-0.666667,0.2500,1.7500,BAR,,1,25523.75,,InTrade,,,,False,True,True,False,872,False,False,
